year,collection_date,plot,subsample,veg_class,NPP,veg_moist 
2010,NaN,8,B,MM,143,1
2010,NaN,22,A,MM,176,1
2010,NaN,22,B,MM,232,1
2010,NaN,25,A,MM,68,1
2010,NaN,25,B,MM,62,1
2010,NaN,26,A,MM,169,1
2010,NaN,26,B,MM,245,1
2010,NaN,27,A,MM,117,1
2010,NaN,27,B,MM,186,1
2010,NaN,36,A,MM,99,1
2010,NaN,36,B,MM,183,1
2010,NaN,43,A,MM,94,1
2010,NaN,43,B,MM,133,1
2010,NaN,44,A,MM,148,1
2010,NaN,44,B,MM,100,1
2010,NaN,46,A,MM,122,1
2010,NaN,46,B,MM,134,1
2010,NaN,49,A,MM,204,1
2010,NaN,49,B,MM,156,1
2010,NaN,52,A,MM,276,1
2010,NaN,52,B,MM,265,1
2010,NaN,53,A,MM,123,1
2010,NaN,53,B,MM,62,1
2010,NaN,61,A,MM,156,1
2010,NaN,61,B,MM,182,1
2010,NaN,64,A,MM,198,1
2010,NaN,64,B,MM,130,1
